run,added_ref,end_length,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10
1,10,5,0.9,1,1,1,1,1,1,1,1,1
2,10,10,1,0.9,1,1,1,1,1,1,1,1
3,10,15,1,1,0.9,1,1,1,1,1,1,1
4,10,20,1,1,1,0.9,1,1,1,1,1,1
5,10,25,1,1,1,1,0.9,1,1,1,1,1
6,10,30,1,1,1,1,1,0.9,1,1,1,1
7,10,35,1,1,1,1,1,1,0.9,1,1,1
8,10,40,1,1,1,1,1,1,1,0.9,1,1
9,10,45,1,1,1,1,1,1,1,1,0.9,1
10,10,50,1,1,1,1,1,1,1,1,1,0.9
11,20,5,0.8,1,1,1,1,1,1,1,1,1
12,20,10,1,0.8,1,1,1,1,1,1,1,1
13,20,15,1,1,0.8,1,1,1,1,1,1,1
14,20,20,1,1,1,0.8,1,1,1,1,1,1
15,20,25,1,1,1,1,0.8,1,1,1,1,1
16,20,30,1,1,1,1,1,0.8,1,1,1,1
17,20,35,1,1,1,1,1,1,0.8,1,1,1
18,20,40,1,1,1,1,1,1,1,0.8,1,1
19,20,45,1,1,1,1,1,1,1,1,0.8,1
20,20,50,1,1,1,1,1,1,1,1,1,0.8
21,30,5,0.7,1,1,1,1,1,1,1,1,1
22,30,10,1,0.7,1,1,1,1,1,1,1,1
23,30,15,1,1,0.7,1,1,1,1,1,1,1
24,30,20,1,1,1,0.7,1,1,1,1,1,1
25,30,25,1,1,1,1,0.7,1,1,1,1,1
26,30,30,1,1,1,1,1,0.7,1,1,1,1
27,30,35,1,1,1,1,1,1,0.7,1,1,1
28,30,40,1,1,1,1,1,1,1,0.7,1,1
29,30,45,1,1,1,1,1,1,1,1,0.7,1
30,30,50,1,1,1,1,1,1,1,1,1,0.7
31,40,5,0.6,1,1,1,1,1,1,1,1,1
32,40,10,1,0.6,1,1,1,1,1,1,1,1
33,40,15,1,1,0.6,1,1,1,1,1,1,1
34,40,20,1,1,1,0.6,1,1,1,1,1,1
35,40,25,1,1,1,1,0.6,1,1,1,1,1
36,40,30,1,1,1,1,1,0.6,1,1,1,1
37,40,35,1,1,1,1,1,1,0.6,1,1,1
38,40,40,1,1,1,1,1,1,1,0.6,1,1
39,40,45,1,1,1,1,1,1,1,1,0.6,1
40,40,50,1,1,1,1,1,1,1,1,1,0.6
41,40,5,0.5,1,1,1,1,1,1,1,1,1
42,50,10,1,0.5,1,1,1,1,1,1,1,1
43,50,15,1,1,0.5,1,1,1,1,1,1,1
44,50,20,1,1,1,0.5,1,1,1,1,1,1
45,50,25,1,1,1,1,0.5,1,1,1,1,1
46,50,30,1,1,1,1,1,0.5,1,1,1,1
47,50,35,1,1,1,1,1,1,0.5,1,1,1
48,50,40,1,1,1,1,1,1,1,0.5,1,1
49,50,45,1,1,1,1,1,1,1,1,0.5,1
50,50,50,1,1,1,1,1,1,1,1,1,0.5
51,60,5,0.4,1,1,1,1,1,1,1,1,1
