"","run","ideal_for","min_length","min_logw","pred5_bm","herb5_bm","fpred_prod","fherb_prod","ftot_prod","tot5_bm"
"1",9,"Resilience","10 cm",1.4,90.1286107549696,50.5551163219816,14.6586277034772,8.26572436701032,22.9243520704875,140.683727076951
"2",11,"Tourism","10 cm",1.4,102.394737719433,42.7808789560752,40.5335393903111,7.8231103833422,48.3566497736534,145.175616675509
"3",382,"Fisheries","10 cm",1.4,102.051270982783,24.2227521555355,85.7024882936303,6.00447867848769,91.706966972118,126.274023138319
"4",351,"All Services","10 cm",1.4,106.577127003831,29.488091028755,75.7755414629455,6.76141824585338,82.5369597087989,136.065218032586
"5",349,"Worst","10 cm",1.4,26.7041480782377,6.41190182481138,17.3364616079979,0.644178113939382,17.9806397219373,33.1160499030491
"6",9,"Resilience","13 cm",1.7,90.1286107549696,50.5551163219816,11.6993270361873,7.30844944861171,19.007776484799,140.683727076951
"7",11,"Tourism","13 cm",1.7,102.394737719433,42.7808789560752,32.4279035020713,6.96187040666132,39.3897739087326,145.175616675509
"8",382,"Fisheries","13 cm",1.7,102.051270982783,24.2227521555355,68.7215709670831,4.47198441214933,73.1935553792325,126.274023138319
"9",351,"All Services","13 cm",1.7,106.577127003831,29.488091028755,60.2416567319279,5.50056035401133,65.7422170859392,136.065218032586
"10",349,"Worst","13 cm",1.7,26.7041480782377,6.41190182481138,14.5270877648864,0.419813890564704,14.9469016554511,33.1160499030491
"11",9,"Resilience","15 cm",1.9,90.1286107549696,50.5551163219816,8.04676060057996,6.65410052767439,14.7008611282543,140.683727076951
"12",11,"Tourism","15 cm",1.9,102.394737719433,42.7808789560752,31.3010886394781,6.22019183428555,37.5212804737636,145.175616675509
"13",382,"Fisheries","15 cm",1.9,102.051270982783,24.2227521555355,63.9591330529537,2.10430147498092,66.0634345279346,126.274023138319
"14",351,"All Services","15 cm",1.9,106.577127003831,29.488091028755,57.6653175343854,3.74715694698751,61.412474481373,136.065218032586
"15",349,"Worst","15 cm",1.9,26.7041480782377,6.41190182481138,15.0996704768026,0.263945684268935,15.3636161610715,33.1160499030491
"16",9,"Resilience","17 cm",2.1,90.1286107549696,50.5551163219816,6.01192621256042,5.92623476321336,11.9381609757738,140.683727076951
"17",11,"Tourism","17 cm",2.1,102.394737719433,42.7808789560752,28.1133782214453,5.52013434543098,33.6335125668763,145.175616675509
"18",382,"Fisheries","17 cm",2.1,102.051270982783,24.2227521555355,56.0553654160875,0.772362996430426,56.8277284125179,126.274023138319
"19",351,"All Services","17 cm",2.1,106.577127003831,29.488091028755,51.6192303059822,2.61039983499809,54.2296301409803,136.065218032586
"20",349,"Worst","17 cm",2.1,26.7041480782377,6.41190182481138,14.1603575327774,0.202475813405175,14.3628333461825,33.1160499030491
"21",9,"Resilience","19 cm",2.2,90.1286107549696,50.5551163219816,5.89177537653643,5.58085746338887,11.4726328399253,140.683727076951
"22",11,"Tourism","19 cm",2.2,102.394737719433,42.7808789560752,23.868498950199,5.28837639993662,29.1568753501356,145.175616675509
"23",382,"Fisheries","19 cm",2.2,102.051270982783,24.2227521555355,47.7800706881615,0.766747727557254,48.5468184157188,126.274023138319
"24",351,"All Services","19 cm",2.2,106.577127003831,29.488091028755,43.7138636158849,2.57268273992431,46.2865463558092,136.065218032586
"25",349,"Worst","19 cm",2.2,26.7041480782377,6.41190182481138,12.2258073685376,0.185963872937133,12.4117712414748,33.1160499030491
"26",9,"Resilience","20 cm",2.3,90.1286107549696,50.5551163219816,4.4938250911305,5.185264965718,9.6790900568485,140.683727076951
"27",11,"Tourism","20 cm",2.3,102.394737719433,42.7808789560752,25.2706900915084,4.75218568578989,30.0228757772983,145.175616675509
"28",382,"Fisheries","20 cm",2.3,102.051270982783,24.2227521555355,50.4667028620012,0.330386946745047,50.7970898087463,126.274023138319
"29",351,"All Services","20 cm",2.3,106.577127003831,29.488091028755,46.9627870993844,1.75843719060266,48.7212242899871,136.065218032586
"30",349,"Worst","20 cm",2.3,26.7041480782377,6.41190182481138,13.1933836147718,0.163941827770438,13.3573254425423,33.1160499030491
"31",9,"Resilience","22 cm",2.4,90.1286107549696,50.5551163219816,3.87351028308779,4.80366331293633,8.67717359602412,140.683727076951
"32",11,"Tourism","22 cm",2.4,102.394737719433,42.7808789560752,23.9612368281215,4.33382069298053,28.2950575211021,145.175616675509
"33",382,"Fisheries","22 cm",2.4,102.051270982783,24.2227521555355,48.0471711484644,0.228356598123091,48.2755277465875,126.274023138319
"34",351,"All Services","22 cm",2.4,106.577127003831,29.488091028755,44.8715950462979,1.39608165841089,46.2676767047088,136.065218032586
"35",349,"Worst","22 cm",2.4,26.7041480782377,6.41190182481138,12.6977508806019,0.150085494602255,12.8478363752041,33.1160499030491
"36",9,"Resilience","25 cm",2.6,90.1286107549696,50.5551163219816,2.82363622730085,3.99409031062965,6.81772653793049,140.683727076951
"37",11,"Tourism","25 cm",2.6,102.394737719433,42.7808789560752,21.5558052378173,3.47584971178451,25.0316549496018,145.175616675509
"38",382,"Fisheries","25 cm",2.6,102.051270982783,24.2227521555355,43.4111188757321,0.120066398139247,43.5311852738713,126.274023138319
"39",351,"All Services","25 cm",2.6,106.577127003831,29.488091028755,40.7999572146742,0.803651472302385,41.6036086869766,136.065218032586
"40",349,"Worst","25 cm",2.6,26.7041480782377,6.41190182481138,11.6765627882684,0.129216885477262,11.8057796737457,33.1160499030491
