"","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10"
"1",0,0,0.05,0.45,0.55,1,1,1,1,0
"2",0,0,0.1,0.1,0.3,0.3,0.5,0.5,0.7,0.7
"3",0,0,0.1,0.4,0.5,1,1,1,1,1
"4",0,0,0.1,0.5,0.5,1,1,1,1,1
"5",0,0,0.1,0.6,0.6,1,1,1,1,1
"6",0,0,0.15,0.4,0.5,1,1,1,1,1
"7",0,0,0.2,0.2,0.4,0.4,0.6,0.6,0.8,0.8
"8",0,0,0.2,0.4,0.5,1,1,1,1,1
"9",0,0.02,0.055,0.091,0.076,0.131,0.187,0.004,1,0.5
"10",0,0.021,0.089,0.074,0.221,0.059,1,1,1,1
"11",0,0.027,0.066,0.068,0.133,0.145,1,1,1,1
"12",0,0.028,0.083,0.031,0.358,0.456,0.113,1,1,0.5
"13",0,0.033,0.059,0.258,0.125,0.135,1,1,1,1
"14",0,0.038,0.17,0.08,0.217,1,1,1,0.178,0.575
"15",0,0.049,0.083,0.211,0.077,0.218,1,1,1,0.574
"16",0,0.05,0.1,0.4,0.5,0,1,1,1,1
"17",0,0.05,0.1,0.4,0.5,1,0,1,1,1
"18",0,0.05,0.1,0.4,0.5,1,1,0,1,1
"19",0,0.05,0.1,0.4,0.5,1,1,1,0,1
"20",0,0.05,0.1,0.4,0.5,1,1,1,1,0
"21",0,0.05,0.1,0.4,0.5,1,1,1,1,1
"22",0,0.05,0.1,0.4,0.55,1,1,1,1,1
"23",0,0.05,0.1,0.4,0.6,1,1,1,1,1
"24",0,0.05,0.1,0.45,0.5,1,1,1,1,1
"25",0,0.05,0.1,0.45,0.55,1,1,1,1,1
"26",0,0.05,0.1,0.45,0.6,1,1,1,1,1
"27",0,0.05,0.1,0.55,0.5,1,1,1,1,1
"28",0,0.05,0.1,0.55,0.55,1,1,1,1,1
"29",0,0.05,0.1,0.55,0.6,1,1,1,1,1
"30",0,0.05,0.15,0.4,0.5,1,1,1,1,1
"31",0,0.05,0.15,0.4,0.55,1,1,1,1,1
"32",0,0.05,0.15,0.4,0.6,1,1,1,1,1
"33",0,0.05,0.15,0.45,0.5,1,1,1,1,1
"34",0,0.05,0.15,0.45,0.55,1,1,1,1,1
"35",0,0.05,0.15,0.45,0.6,1,1,1,1,1
"36",0,0.05,0.15,0.55,0.5,1,1,1,1,1
"37",0,0.05,0.15,0.55,0.55,1,1,1,1,1
"38",0,0.05,0.15,0.55,0.6,1,1,1,1,1
"39",0,0.05,0.2,0.4,0.5,1,1,1,1,1
"40",0,0.05,0.2,0.4,0.55,1,1,1,1,1
"41",0,0.05,0.2,0.4,0.6,1,1,1,1,1
"42",0,0.05,0.2,0.45,0.5,1,1,1,1,1
"43",0,0.05,0.2,0.45,0.55,1,1,1,1,1
"44",0,0.05,0.2,0.45,0.6,1,1,1,1,1
"45",0,0.05,0.2,0.55,0.5,1,1,1,1,1
"46",0,0.05,0.2,0.55,0.55,1,1,1,1,1
"47",0,0.05,0.2,0.55,0.6,1,1,1,1,1
"48",0,0.051,0.136,0.102,0.228,1,0.335,1,1,0.589
"49",0,0.053,0.048,0.053,0.12,0.308,0.176,1,1,0.5
"50",0,0.063,0.14,0.363,0.45,1,1,1,1,1
"51",0,0.073,0.161,0.137,0.556,0.383,1,1,1,0.592
"52",0,0.095,0.174,0.346,1,1,1,1,1,1
"53",0,0.1,0.1,0.1,0.1,0.1,0.2,0,1,0
"54",0,0.1,0.1,0.1,0.1,0.1,0.2,0,1,0.5
"55",0,0.1,0.1,0.1,0.1,0.1,0.2,1,1,0
"56",0,0.1,0.1,0.1,0.1,0.1,1,1,1,0
"57",0,0.1,0.1,0.1,0.1,1,1,1,0,0
"58",0,0.1,0.1,0.4,0.5,1,1,1,1,1
"59",0,0.1,0.1,0.4,0.55,1,1,1,1,1
"60",0,0.1,0.1,0.4,0.6,1,1,1,1,1
"61",0,0.1,0.1,0.45,0.5,1,1,1,1,1
"62",0,0.1,0.1,0.45,0.55,1,1,1,1,1
"63",0,0.1,0.1,0.45,0.6,1,1,1,1,1
"64",0,0.1,0.1,0.55,0.5,1,1,1,1,1
"65",0,0.1,0.1,0.55,0.55,1,1,1,1,1
"66",0,0.1,0.1,0.55,0.6,1,1,1,1,1
"67",0,0.1,0.15,0.4,0.5,1,1,1,1,1
"68",0,0.1,0.15,0.4,0.55,1,1,1,1,1
"69",0,0.1,0.15,0.4,0.6,1,1,1,1,1
"70",0,0.1,0.15,0.45,0.5,1,1,1,1,1
"71",0,0.1,0.15,0.45,0.55,1,1,1,1,1
"72",0,0.1,0.15,0.45,0.6,1,1,1,1,1
"73",0,0.1,0.15,0.55,0.5,1,1,1,1,1
"74",0,0.1,0.15,0.55,0.55,1,1,1,1,1
"75",0,0.1,0.15,0.55,0.6,1,1,1,1,1
"76",0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
"77",0,0.1,0.2,0.3,0.4,0.5,1,1,1,1
"78",0,0.1,0.2,0.3,1,1,1,1,1,1
"79",0,0.1,0.2,0.4,0.5,1,1,1,1,1
"80",0,0.1,0.2,0.4,0.55,1,1,1,1,1
"81",0,0.1,0.2,0.4,0.6,1,1,0.2,0,0
"82",0,0.1,0.2,0.4,0.6,1,1,1,1,1
"83",0,0.1,0.2,0.45,0.5,1,1,1,1,1
"84",0,0.1,0.2,0.45,0.55,1,1,1,1,1
"85",0,0.1,0.2,0.45,0.6,1,1,1,1,1
"86",0,0.1,0.2,0.55,0.5,1,1,1,1,1
"87",0,0.1,0.2,0.55,0.55,1,1,1,1,1
"88",0,0.1,0.2,0.55,0.6,1,1,1,1,1
"89",0,0.1,0.3,0.5,0.7,1,1,1,1,1
"90",0,0.1,0.4,0.5,0.6,1,0.2,1,1,0
"91",0,0.104,0.123,0.079,0.226,0.059,1,1,1,1
"92",0,0.132,0.213,0.086,0.222,1,1,1,0.178,0.575
"93",0,0.134,0.093,0.074,0.136,0.145,1,1,1,1
"94",0,0.143,0.08,0.271,0.127,0.135,1,1,1,1
"95",0,0.15,0.1,0.4,0.5,1,1,1,1,1
"96",0,0.15,0.1,0.4,0.55,1,1,1,1,1
"97",0,0.15,0.1,0.4,0.6,1,1,1,1,1
"98",0,0.15,0.1,0.45,0.5,1,1,1,1,1
"99",0,0.15,0.1,0.45,0.55,1,1,1,1,1
"100",0,0.15,0.1,0.45,0.6,1,1,1,1,1
"101",0,0.15,0.1,0.55,0.5,1,1,1,1,1
"102",0,0.15,0.1,0.55,0.55,1,1,1,1,1
"103",0,0.15,0.1,0.55,0.6,1,1,1,1,1
"104",0,0.15,0.15,0.4,0.5,1,1,1,1,1
"105",0,0.15,0.15,0.4,0.55,1,1,1,1,1
"106",0,0.15,0.15,0.4,0.6,1,1,1,1,1
"107",0,0.15,0.15,0.45,0.5,1,1,1,1,1
"108",0,0.15,0.15,0.45,0.55,1,1,1,1,1
"109",0,0.15,0.15,0.45,0.6,1,1,1,1,1
"110",0,0.15,0.15,0.55,0.5,1,1,1,1,1
"111",0,0.15,0.15,0.55,0.55,1,1,1,1,1
"112",0,0.15,0.15,0.55,0.6,1,1,1,1,1
"113",0,0.15,0.2,0.4,0.5,1,1,1,1,1
"114",0,0.15,0.2,0.4,0.55,1,1,1,1,1
"115",0,0.15,0.2,0.4,0.6,1,1,1,1,1
"116",0,0.15,0.2,0.45,0.5,1,1,1,1,1
"117",0,0.15,0.2,0.45,0.55,1,1,1,1,1
"118",0,0.15,0.2,0.45,0.6,1,1,1,1,1
"119",0,0.15,0.2,0.55,0.5,1,1,1,1,1
"120",0,0.15,0.2,0.55,0.55,1,1,1,1,1
"121",0,0.15,0.2,0.55,0.6,1,1,1,1,1
"122",0,0.189,0.197,0.146,0.559,0.383,1,1,1,0.592
"123",0,0.191,0.069,0.059,0.125,0.308,0.176,1,1,0.5
"124",0,0.2,0.2,0.2,0.2,1,1,1,1,1
