run,ambient_reef,method,based_on,deg_type,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10
1,flat,none,flat,flat,1,1,1,1,1,1,1,1,1,1
2,deg_1,mean,Selayar_Benteng_Sediment_Blasted,mech,0.142899575,0.720836697,0.680235753,1,1,1,1,1,1,1
3,deg_2,median,Selayar_Benteng_Sediment_Blasted,mech,0,0.755095672,0.680692312,1,1,1,1,1,1,1
4,deg_3,mode,Selayar_Benteng_Sediment_Blasted,mech,0,0.941888965,0.796870162,1,1,1,1,1,1,1
5,deg_4,max,Selayar_Benteng_Sediment_Blasted,mech,0.515098919,0.941888965,0.796870162,1,1,1,1,1,1,1
6,deg_5,min,Selayar_Benteng_Sediment_Blasted,mech,0,0.416953081,0.562659899,1,1,1,1,1,1,1
7,deg_6,mean,Selayar_Benteng_Sediment_Blasted2,mech,0.455302373,0.548165363,1,1,1,1,1,1,1,1
8,deg_7,median,Selayar_Benteng_Sediment_Blasted2,mech,0.600816569,0.557750974,1,1,1,1,1,1,1,1
9,deg_8,mode,Selayar_Benteng_Sediment_Blasted2,mech,0,0.861064214,1,1,1,1,1,1,1,1
10,deg_9,max,Selayar_Benteng_Sediment_Blasted2,mech,0.910158324,0.861064214,1,1,1,1,1,1,1,1
11,deg_10,min,Selayar_Benteng_Sediment_Blasted2,mech,0,0.213668608,1,1,1,1,1,1,1,1
12,deg_11,mean,Pasi_Gusung_North_reserve3,bleached,1,1,1,1,0.225663029,0.059040325,1,1,1,1
13,deg_12,median,Pasi_Gusung_North_reserve3,bleached,1,1,1,1,0.220464455,0.059040325,1,1,1,1
14,deg_13,mode,Pasi_Gusung_North_reserve3,bleached,1,1,1,1,0.280198256,0.06935636,1,1,1,1
15,deg_14,max,Pasi_Gusung_North_reserve3,bleached,1,1,1,1,0.280198256,0.06935636,1,1,1,1
16,deg_15,min,Pasi_Gusung_North_reserve3,bleached,1,1,1,1,0.176326377,0.04872429,1,1,1,1
17,deg_16,mean,Selayar_Benteng_Sedimented1,bleached,1,1,1,1,0.078951866,0.131294653,0.187111013,0.004268483,1,0.5
18,deg_17,median,Selayar_Benteng_Sedimented1,bleached,1,1,1,1,0.075581703,0.131294653,0.187111013,0.004268483,1,0.5
19,deg_18,mode,Selayar_Benteng_Sedimented1,bleached,1,1,1,1,0.114617334,0.153281535,0.213264656,0.008536966,1,1
20,deg_19,max,Selayar_Benteng_Sedimented1,bleached,1,1,1,1,0.114617334,0.153281535,0.213264656,0.008536966,1,1
21,deg_20,min,Selayar_Benteng_Sedimented1,bleached,1,1,1,1,0.046656562,0.109307771,0.16095737,0,1,0
