"","run","ambient_reef","comp_group","based_on","deg_test","pred5_bm","herb5_bm","fpred_prod","fherb_prod","ftot_prod","tot5_bm"
"1",2,"deg_1",2,"Selayar_Benteng_Sediment_Blasted","mech",42.0676723149662,18.9059298785929,37.5436909262082,6.83688390729025,44.3805748334985,60.973602193559
"2",3,"deg_2",3,"Selayar_Benteng_Sediment_Blasted","mech",61.2931472219218,20.7875462280578,54.9787940006148,7.03947637942472,62.0182703800395,82.0806934499796
"3",4,"deg_3",4,"Selayar_Benteng_Sediment_Blasted","mech",59.4649844059944,20.2972655729254,53.6237529317794,6.89093535406439,60.5146882858438,79.7622499789199
"4",5,"deg_4",5,"Selayar_Benteng_Sediment_Blasted","mech",32.661637215403,14.9408998632459,30.1130025023004,6.18473744198182,36.2977399442822,47.6025370786489
"5",6,"deg_5",6,"Selayar_Benteng_Sediment_Blasted","mech",63.7526973340918,21.3851796920499,56.9077570051503,7.21899101829783,64.1267480234482,85.1378770261418
"6",7,"deg_6",7,"Selayar_Benteng_Sediment_Blasted2","mech",32.0181289415929,14.6825815219316,29.877026927441,6.00801395822362,35.8850408856646,46.7007104635245
"7",8,"deg_7",8,"Selayar_Benteng_Sediment_Blasted2","mech",30.7867788513318,13.7647088772976,28.8175418283142,5.87032468386832,34.6878665121825,44.5514877286294
"8",9,"deg_8",9,"Selayar_Benteng_Sediment_Blasted2","mech",57.1293519169198,19.6312509855838,51.9975781304897,6.683128690354,58.6807068208437,76.7606029025036
"9",10,"deg_9",10,"Selayar_Benteng_Sediment_Blasted2","mech",29.195803076355,12.3950340538619,27.4111005170993,5.66099322186714,33.0720937389665,41.5908371302169
"10",11,"deg_10",11,"Selayar_Benteng_Sediment_Blasted2","mech",57.1293519169198,19.6312509855838,51.9975781304897,6.683128690354,58.6807068208437,76.7606029025036
"11",12,"deg_11",12,"Pasi_Gusung_North_reserve3","bleached",32.8048639762463,11.9118549878002,26.3117746026358,5.39038807470932,31.7021626773451,44.7167189640465
"12",13,"deg_12",13,"Pasi_Gusung_North_reserve3","bleached",32.8224645484803,11.9113072090543,26.3131790018231,5.38960027295099,31.7027792747741,44.7337717575345
"13",14,"deg_13",14,"Pasi_Gusung_North_reserve3","bleached",32.5760578187943,11.9242273027703,26.3057019284532,5.40166326858258,31.7073651970358,44.5002851215646
"14",15,"deg_14",15,"Pasi_Gusung_North_reserve3","bleached",32.5760578187943,11.9242273027703,26.3057019284532,5.40166326858258,31.7073651970358,44.5002851215646
"15",16,"deg_15",16,"Pasi_Gusung_North_reserve3","bleached",33.0300385507856,11.8981099657597,26.3192127432566,5.37919544540893,31.6984081886656,44.9281485165453
"16",17,"deg_16",17,"Selayar_Benteng_Sedimented1","bleached",35.5720248070911,11.6058648064922,21.4357387368039,5.20972753623785,26.6454662730418,47.1778896135832
"17",18,"deg_17",18,"Selayar_Benteng_Sedimented1","bleached",35.5893464405675,11.6049312539069,21.4354906212644,5.2089711436821,26.6444617649465,47.1942776944745
"18",19,"deg_18",19,"Selayar_Benteng_Sedimented1","bleached",34.7738851226284,11.7347599566774,22.9494333657547,5.25282614662042,28.2022595123752,46.5086450793058
"19",20,"deg_19",20,"Selayar_Benteng_Sedimented1","bleached",34.7738851226284,11.7347599566774,22.9494333657547,5.25282614662042,28.2022595123752,46.5086450793058
"20",21,"deg_20",21,"Selayar_Benteng_Sedimented1","bleached",36.9280425635272,11.3883994584306,18.9591042551075,5.14144057491638,24.1005448300238,48.3164420219578
